,Complaint Type,Sub Type,Unnamed: 0,address_street_direction,address_street_name,address_street_number,address_street_suffix,any_people_using_property_homeless_childen_gangs_,community_area,completion_date,creation_date,current_activity,if_the_building_is_open_where_is_the_entry_point_,is_the_building_currently_vacant_or_occupied_,is_the_building_dangerous_or_hazardous_,is_the_building_vacant_due_to_fire_,latitude,location,location_of_building_on_the_lot_if_garage_change_type_code_to_bgd_,longitude,most_recent_action,number_of_potholes_filled_on_block,police_district,service_request_number,service_request_type,ssa,status,street_address,type_of_service_request,ward,what_type_of_surface_is_the_graffiti_on_,x_coordinate,y_coordinate,zip_code
436847,Graffiti Removal,Garage,36847,,,,,,19.0,2013-12-11T00:00:00,2013-12-10T00:00:00,,,,,,41.9260371093525,"{'longitude': '-87.76374817787998', 'needs_recoding': False, 'latitude': '41.9260371093525'}",,-87.76374817787998,,,25.0,13-01833628,,,Completed,2504 N LINDER AVE,Graffiti Removal,30.0,Aluminum Siding,1139291.47966843,1916106.23912076,60639.0
560307,Graffiti Removal,Front,10307,,,,,,21.0,2014-11-03T00:00:00,2014-11-03T00:00:00,,,,,,41.932540595009534,"{'longitude': '-87.7128645252805', 'needs_recoding': False, 'latitude': '41.93254059500953'}",,-87.7128645252805,,,14.0,14-01892370,,,Completed,2823 N MILWAUKEE AVE,Graffiti Removal,35.0,Brick - Painted,1153021.40179657,1918614.68230168,60618.0
923424,Pot Holes Reported,Pot Hole in Street,10086,,,,,,65.0,2011-01-25T00:00:00,2011-01-20T00:00:00,Dispatch Crew,,,,,41.785795606129774,"{'longitude': '-87.72601885378756', 'needs_recoding': False, 'latitude': '41.785795606129774'}",,-87.72601885378755,Pothole Patched,13.0,8.0,11-00092476,,,Completed,4113 W 59TH ST,,13.0,,1149913.28841987,1865160.22893162,60629.0
435827,Graffiti Removal,Door,35827,,,,,,28.0,2013-12-09T00:00:00,2013-12-06T00:00:00,,,,,,41.88731367547286,"{'longitude': '-87.6644009835736', 'needs_recoding': False, 'latitude': '41.88731367547286'}",,-87.66440098357359,,,12.0,13-01817915,,,Completed,1501 W CARROLL AVE,Graffiti Removal,27.0,Vinyl Siding,1166399.78499283,1902277.0888899,60607.0
1447066,Sanitation Code Complaints,Other,26286,,,,,,30.0,2015-02-20T00:00:00,2015-02-16T00:00:00,,,,,,41.84539185358649,"{'longitude': '-87.71237767529122', 'needs_recoding': False, 'latitude': '41.84539185358649'}",,-87.71237767529121,,,10.0,15-00299765,,,Completed,2546 S ST LOUIS AVE,Sanitation Code Violation,22.0,,1153441.98220921,1886862.58837819,60623.0
1158903,Pot Holes Reported,Pothole in Street,45565,,,,,,2.0,2014-05-01T00:00:00,2014-03-10T00:00:00,Final Outcome,,,,,41.99225560056792,"{'longitude': '-87.7020343742408', 'needs_recoding': False, 'latitude': '41.992255600567916'}",,-87.7020343742408,Pothole Patched,72.0,24.0,14-00335762,,,Completed,6100 N FRANCISCO AVE,,50.0,,1155907.33390439,1940369.32231194,60659.0
1031489,Pot Holes Reported,Pot Hole in Street,18151,,,,,,51.0,2011-08-02T00:00:00,2011-07-19T00:00:00,Dispatch Crew,,,,,41.708032836311226,"{'longitude': '-87.56344836316018', 'needs_recoding': False, 'latitude': '41.70803283631123'}",,-87.56344836316019,Pothole Patched,12.0,4.0,11-03409244,,,Completed,10300 S BENSLEY AVE,,10.0,,1194508.42971831,1837170.79800294,60617.0
711009,Graffiti Removal,Front,11009,,,,,,31.0,2016-01-11T00:00:00,2016-01-11T00:00:00,,,,,,41.845141424557006,"{'longitude': '-87.67580487731604', 'needs_recoding': False, 'latitude': '41.845141424557006'}",,-87.67580487731605,,,10.0,16-00182832,,,Completed,2558 S DAMEN AVE,Graffiti Removal,25.0,Brick - Unpainted,1163443.42120833,1887018.77607977,60608.0
603791,Graffiti Removal,Rear,3791,,,,,,16.0,2015-03-16T00:00:00,2015-03-16T00:00:00,,,,,,41.960216002827714,"{'longitude': '-87.71570702320929', 'needs_recoding': False, 'latitude': '41.96021600282771'}",,-87.7157070232093,,,17.0,15-00768016,,60.0,Completed,4330 N ST LOUIS AVE,Graffiti Removal,33.0,Brick - Unpainted,1152277.73472418,1928558.42531352,60618.0
292286,Graffiti Removal,Garage,42286,,,,,,58.0,2011-11-10T00:00:00,2011-11-09T00:00:00,,,,,,41.80941437215992,"{'longitude': '-87.6916491193372', 'needs_recoding': False, 'latitude': '41.80941437215992'}",,-87.6916491193372,,,9.0,11-04100802,,,Completed,4623 S WASHTENAW AVE,Graffiti Removal,12.0,Wood - Painted,1159144.74449765,1873896.81970212,60632.0
373331,Graffiti Removal,Side,23331,,,,,,2.0,2013-07-18T00:00:00,2013-07-13T00:00:00,,,,,,41.98560528515967,"{'longitude': '-87.6991023372116', 'needs_recoding': False, 'latitude': '41.98560528515967'}",,-87.69910233721158,,,20.0,13-00934149,,,Completed,5727 N LINCOLN AVE,Graffiti Removal,40.0,Brick - Unpainted,1156661.38142743,1937947.77773235,60659.0
142481,Graffiti Removal,Side,42481,,,,,,60.0,2012-05-09T00:00:00,2012-05-01T00:00:00,,,,,,41.84055377709372,"{'longitude': '-87.66048949858407', 'needs_recoding': False, 'latitude': '41.84055377709372'}",,-87.66048949858406,,,9.0,12-00843150,,,Completed,2980 S ARCHER AVE,Graffiti Removal,11.0,Brick - Unpainted,1167601.03999955,1885162.92001117,60608.0
1206122,Pot Holes Reported,Pothole in Street,42784,,,,,,22.0,2014-08-21T00:00:00,2014-07-16T00:00:00,,,,,,41.925038006410325,"{'longitude': '-87.67804719101314', 'needs_recoding': False, 'latitude': '41.925038006410325'}",,-87.67804719101315,,,14.0,14-01132985,,,Completed - Dup,2400 N DAMEN AVE,,32.0,,1162614.70988649,1915951.04987793,60647.0
828703,Graffiti Removal,Dumpster,28703,,,,,,5.0,2017-01-03T00:00:00,2017-01-01T00:00:00,,,,,,41.94124769689785,"{'longitude': '-87.68150871905696', 'needs_recoding': False, 'latitude': '41.94124769689784'}",,-87.68150871905695,,,19.0,17-00005495,,,Completed,2117 W SCHOOL ST,Graffiti Removal,32.0,Metal - Painted,1161585.90013379,1921894.41723043,60618.0
880347,Vacant and Abandoned Buildings Reported,Open,25725,N,AVERS,632,AVE,0.0,23.0,,2012-04-30T00:00:00,,ALL,Vacant,,0.0,41.892326094705595,"{'longitude': '-87.72232354272535', 'needs_recoding': False, 'latitude': '41.89232609470559'}",Front,-87.72232354272535,,,11.0,12-00834776,Vacant/Abandoned Building,,,,,27.0,,1150610.28298677,1903945.88410088,60624.0
1006349,Pot Holes Reported,Pot Hole in Street,43011,,,,,,65.0,2012-05-09T00:00:00,2012-05-04T00:00:00,Dispatch Crew,,,,,41.780753246841606,"{'longitude': '-87.7364013506231', 'needs_recoding': False, 'latitude': '41.7807532468416'}",,-87.7364013506231,Pothole Patched,1.0,8.0,12-00863069,,,Completed,6146 S KOLMAR AVE,,13.0,,1147093.56188202,1863462.27901699,60629.0
1469775,Sanitation Code Complaints,Garbage in yard,48995,,,,,,57.0,2016-05-10T00:00:00,2016-05-05T00:00:00,,,,,,41.80503989940064,"{'longitude': '-87.72350226815361', 'needs_recoding': False, 'latitude': '41.80503989940064'}",,-87.72350226815361,,,8.0,16-03083759,,,Completed,4854 S PULASKI RD,Sanitation Code Violation,14.0,,1150515.21791579,1872136.81751541,60632.0
1469793,Sanitation Code Complaints,Garbage in yard,49013,,,,,,6.0,2016-05-10T00:00:00,2016-05-06T00:00:00,,,,,,41.945622840177926,"{'longitude': '-87.64578742136067', 'needs_recoding': False, 'latitude': '41.94562284017792'}",,-87.64578742136067,,,19.0,16-03124380,,,Completed,625 W CORNELIA AVE,Sanitation Code Violation,46.0,,1171293.25080131,1923524.9880126999,60657.0
115201,Graffiti Removal,Front,15201,,,,,,19.0,2011-03-31T00:00:00,2011-03-31T00:00:00,,,,,,41.9310980054246,"{'longitude': '-87.77116208970716', 'needs_recoding': False, 'latitude': '41.931098005424595'}",,-87.77116208970716,,,25.0,11-00543557,,,Completed,5801 W DIVERSEY AVE,Graffiti Removal,30.0,Other / Unknown Surface,1137224.28927835,1918023.62968541,60639.0
204502,Graffiti Removal,Fence,4502,,,,,,30.0,2011-07-18T00:00:00,2011-07-18T00:00:00,,,,,,41.851816615102976,"{'longitude': '-87.71006758461843', 'needs_recoding': False, 'latitude': '41.851816615102976'}",,-87.71006758461843,,,10.0,11-03398453,,,Completed,3358 W CERMAK RD,Graffiti Removal,24.0,Brick - Painted,1154248.52297068,1889173.32576957,60623.0
523366,Graffiti Removal,Front,23366,,,,,,24.0,2014-07-21T00:00:00,2014-07-20T00:00:00,,,,,,41.9036641338405,"{'longitude': '-87.65836051300803', 'needs_recoding': False, 'latitude': '41.9036641338405'}",,-87.65836051300802,,,14.0,14-01156473,,,Completed,1203 N ELSTON AVE,Graffiti Removal,32.0,"Cement (Sidewalk, Alley, Wall, Curb)",1167971.05887443,1908177.2930281998,60642.0
1177931,Pot Holes Reported,Pothole in Street,14593,,,,,,11.0,2014-06-17T00:00:00,2014-06-12T00:00:00,Final Outcome,,,,,41.969871645380415,"{'longitude': '-87.75522865400347', 'needs_recoding': False, 'latitude': '41.969871645380415'}",,-87.75522865400347,No Potholes Found,0.0,16.0,14-00893416,,,Completed,5100 W AINSLIE ST,,45.0,,1141495.2438669,1932102.35318097,60630.0
91887,Graffiti Removal,Front,41887,,,,,,65.0,2012-03-16T00:00:00,2012-03-14T00:00:00,,,,,,41.77846093482106,"{'longitude': '-87.7301348967672', 'needs_recoding': False, 'latitude': '41.77846093482106'}",,-87.7301348967672,,,8.0,12-00612566,,3.0,Completed - Dup,4301 W 63RD ST,Graffiti Removal,13.0,Brick - Unpainted,1148780.0259791,1862478.98418862,60629.0
432747,Graffiti Removal,Rear,32747,,,,,,52.0,2013-12-02T00:00:00,2013-11-29T00:00:00,,,,,,41.69945119160296,"{'longitude': '-87.54362754416407', 'needs_recoding': False, 'latitude': '41.69945119160296'}",,-87.54362754416407,,,4.0,13-01784311,,,Completed,10751 S BUFFALO AVE,Graffiti Removal,10.0,Aluminum Siding,1199867.80728628,1834265.6512658,60617.0
1217651,Pot Holes Reported,Pothole in Street,4313,,,,,,43.0,2014-10-16T00:00:00,2014-09-03T00:00:00,Final Outcome,,,,,41.765183207986546,"{'longitude': '-87.57631402251846', 'needs_recoding': False, 'latitude': '41.765183207986546'}",,-87.57631402251845,Pothole Patched,16.0,3.0,14-01469386,,42.0,Completed,1999 E 71ST PL,,5.0,,1190781.21001767,1857972.56997271,60649.0
800706,Graffiti Removal,Rear,706,,,,,,30.0,2016-09-29T00:00:00,2016-09-28T00:00:00,,,,,,41.844309157342316,"{'longitude': '-87.72857433523204', 'needs_recoding': False, 'latitude': '41.844309157342316'}",,-87.72857433523205,,,10.0,16-06835125,,25.0,Completed - Dup,4136 W 26TH ST,Graffiti Removal,22.0,"Cement (Sidewalk, Alley, Wall, Curb)",1149097.15996867,1886398.14100043,60623.0
1424901,Sanitation Code Complaints,Garbage in alley,4121,,,,,,66.0,2013-11-20T00:00:00,2013-11-18T00:00:00,,,,,,41.78274374325583,"{'longitude': '-87.68740350841554', 'needs_recoding': False, 'latitude': '41.78274374325583'}",,-87.68740350841554,,,8.0,13-01730061,,,Completed,6106 S MAPLEWOOD AVE,Sanitation Code Violation,15.0,,1160418.32672979,1864084.14580401,60629.0
287508,Graffiti Removal,Rear,37508,,,,,,31.0,2011-11-03T00:00:00,2011-11-03T00:00:00,,,,,,41.858076479318434,"{'longitude': '-87.65564157308651', 'needs_recoding': False, 'latitude': '41.85807647931844'}",,-87.65564157308651,,,12.0,11-04061732,,,Completed,1156 W 18TH ST,Graffiti Removal,25.0,Brick - Unpainted,1168953.98012663,1891564.39676971,60608.0
301480,Graffiti Removal,Sign,1480,,,,,,19.0,2011-11-23T00:00:00,2011-11-22T00:00:00,,,,,,41.92753619790204,"{'longitude': '-87.77842384509299', 'needs_recoding': False, 'latitude': '41.92753619790204'}",,-87.77842384509299,,,25.0,11-04158305,,,Completed,2600 N MEADE AVE,Graffiti Removal,29.0,Metal,1135293.76241356,1916640.62892724,60639.0
574335,Graffiti Removal,Front,24335,,,,,,24.0,2014-12-10T00:00:00,2014-12-10T00:00:00,,,,,,41.91082050817554,"{'longitude': '-87.66184469127433', 'needs_recoding': False, 'latitude': '41.91082050817554'}",,-87.66184469127433,,,14.0,14-02115385,,,Completed,1334 W NORTH AVE,Graffiti Removal,32.0,Brick - Painted,1167050.76533072,1910769.16671356,60642.0
574989,Graffiti Removal,Front,24989,,,,,,61.0,2014-12-11T00:00:00,2014-12-11T00:00:00,,,,,,41.79616939867144,"{'longitude': '-87.64505924167491', 'needs_recoding': False, 'latitude': '41.79616939867144'}",,-87.6450592416749,,,9.0,14-02120480,,,Completed,5359 S HALSTED ST,Graffiti Removal,3.0,Brick - Painted,1171883.4021095,1869229.77010104,60609.0
783982,Graffiti Removal,Side,33982,,,,,,32.0,2016-08-10T00:00:00,2016-08-09T00:00:00,,,,,,41.8837645981034,"{'longitude': '-87.63227535353653', 'needs_recoding': False, 'latitude': '41.8837645981034'}",,-87.63227535353653,,,1.0,16-05643331,,,Completed,121 N LA SALLE ST,Graffiti Removal,42.0,Brick - Unpainted,1175113.30259427,1901023.04281984,60602.0
587237,Graffiti Removal,Alley,37237,,,,,,20.0,2015-01-20T00:00:00,2015-01-17T00:00:00,,,,,,41.934801925256174,"{'longitude': '-87.7360369807858', 'needs_recoding': False, 'latitude': '41.934801925256174'}",,-87.73603698078578,,,25.0,15-00089896,,,Completed,2942 N LOWELL AVE,Graffiti Removal,31.0,Aluminum Siding,1146814.30992032,1919213.44389432,60641.0
1440752,Sanitation Code Complaints,Garbage in alley,19972,,,,,,25.0,2014-09-19T00:00:00,2014-09-15T00:00:00,,,,,,41.89190512931832,"{'longitude': '-87.7579386124784', 'needs_recoding': False, 'latitude': '41.891905129318324'}",,-87.75793861247841,,,15.0,14-01555278,,,Completed,640 N LOCKWOOD AVE,Sanitation Code Violation,37.0,,1140914.32182894,1903725.44451675,60644.0
905328,Vacant and Abandoned Buildings Reported,Open,706,S,KOMENSKY,6804,AVE,0.0,65.0,,2015-08-10T00:00:00,,WINDOWS AND DOORS,Vacant,,0.0,41.76946462246919,"{'longitude': '-87.7237444010842', 'needs_recoding': False, 'latitude': '41.76946462246919'}",Front,-87.72374440108419,,,8.0,15-03995992,Vacant/Abandoned Building,,,,,13.0,,1150541.11200263,1859172.98070285,60629.0
126535,Graffiti Removal,Front,26535,,,,,,55.0,2011-04-18T00:00:00,2011-04-12T00:00:00,,,,,,41.64831043451149,"{'longitude': '-87.54242382695772', 'needs_recoding': False, 'latitude': '41.648310434511494'}",,-87.54242382695772,,,4.0,11-00783430,,,Completed,3324 E 136TH ST,Graffiti Removal,10.0,Aluminum Siding,1200301.97000972,1815386.63086636,60633.0
1403173,Sanitation Code Complaints,Other,32393,,,,,,21.0,2011-09-19T00:00:00,2011-09-16T00:00:00,,,,,,41.93451432102528,"{'longitude': '-87.7172589243473', 'needs_recoding': False, 'latitude': '41.93451432102528'}",,-87.7172589243473,,,25.0,11-03800651,,,Completed,2924 N CENTRAL PARK AVE,Sanitation Code Violation,30.0,,1151878.80997253,1919329.16001936,60618.0
950739,Pot Holes Reported,Pot Hole in Street,37401,,,,,,56.0,2011-04-28T00:00:00,2011-02-28T00:00:00,Dispatch Crew,,,,,41.80043668751372,"{'longitude': '-87.74302186800357', 'needs_recoding': False, 'latitude': '41.80043668751372'}",,-87.74302186800355,Complete Upon Arrival,0.0,8.0,11-00331923,,,Completed,4800 W 51ST ST,,23.0,,1145222.36478353,1870382.60420231,60638.0
667888,Graffiti Removal,Mail Box,17888,,,,,,77.0,2015-09-02T00:00:00,2015-09-02T00:00:00,,,,,,41.99461676036222,"{'longitude': '-87.65850478591986', 'needs_recoding': False, 'latitude': '41.99461676036222'}",,-87.65850478591986,,,24.0,15-04524892,,26.0,Completed,6200 N WINTHROP AVE,Graffiti Removal,48.0,Metal - Painted,1167733.50333364,1941336.56577561,60660.0
1260442,Pot Holes Reported,Pothole in Street,47104,,,,,,32.0,2015-04-23T00:00:00,2015-04-21T00:00:00,,,,,,41.88434876350499,"{'longitude': '-87.61454977813347', 'needs_recoding': False, 'latitude': '41.88434876350499'}",,-87.61454977813347,,,1.0,15-01470211,,,Completed - Dup,150 N SB OUTER LAKE SHORE DR,,42.0,,1179950.445492,1901207.77261464,60601.0
965867,Pot Holes Reported,Pot Hole in Street,2529,,,,,,61.0,2013-03-12T00:00:00,2013-03-12T00:00:00,Final Outcome,,,,,41.797584098403675,"{'longitude': '-87.66453148858275', 'needs_recoding': False, 'latitude': '41.79758409840368'}",,-87.66453148858274,Pothole Patched,28.0,9.0,13-00276749,,,Completed,5301 S ASHLAND AVE,,16.0,,1166573.6994826999,1869564.98656698,60609.0
593748,Graffiti Removal,Front,43748,,,,,,22.0,2015-02-10T00:00:00,2015-02-07T00:00:00,,,,,,41.92579517574068,"{'longitude': '-87.68613563822069', 'needs_recoding': False, 'latitude': '41.92579517574068'}",,-87.68613563822069,,,14.0,15-00232480,,,Completed,2320 W MONTANA ST,Graffiti Removal,1.0,Brick - Unpainted,1160380.05183245,1916174.3198330002,60647.0
479425,Graffiti Removal,Garage,29425,,,,,,62.0,2014-04-08T00:00:00,2014-04-07T00:00:00,,,,,,41.788703680373104,"{'longitude': '-87.71355596766054', 'needs_recoding': False, 'latitude': '41.788703680373104'}",,-87.71355596766054,,,8.0,14-00498175,,,Completed,3601 W 57TH PL,Graffiti Removal,14.0,Metal - Painted,1153293.11998439,1866244.05001239,60629.0
1255488,Pot Holes Reported,Pothole in Street,42150,,,,,,25.0,2015-04-17T00:00:00,2015-04-15T00:00:00,,,,,,41.898108850579476,"{'longitude': '-87.76657668246158', 'needs_recoding': False, 'latitude': '41.89810885057948'}",,-87.76657668246159,,,15.0,15-01349731,,,Completed - Dup,949 N PARKSIDE AVE,,29.0,,1138513.93231826,1905770.1208084999,60651.0
37492,Graffiti Removal,Side,37492,,,,,,19.0,2011-02-17T00:00:00,2011-02-01T00:00:00,,,,,,41.922077178029795,"{'longitude': '-87.77550860540491', 'needs_recoding': False, 'latitude': '41.9220771780298'}",,-87.77550860540491,,,25.0,11-00157419,,,Completed,2301 N AUSTIN AVE,Graffiti Removal,37.0,Brick - Unpainted,1136019.59593014,1914669.11292406,60639.0
488783,Graffiti Removal,Front,38783,,,,,,19.0,2014-04-24T00:00:00,2014-04-08T00:00:00,,,,,,41.938580901910385,"{'longitude': '-87.75749278538855', 'needs_recoding': False, 'latitude': '41.93858090191038'}",,-87.75749278538855,,,25.0,14-00500351,,,Completed,5219 W BELMONT AVE,Graffiti Removal,30.0,Brick - Unpainted,1141011.9437862,1920776.74999159,60641.0
402902,Graffiti Removal,Side,2902,,,,,,30.0,2013-09-25T00:00:00,2013-08-29T00:00:00,,,,,,41.84421343086715,"{'longitude': '-87.71893470568868', 'needs_recoding': False, 'latitude': '41.84421343086715'}",,-87.71893470568868,,,10.0,13-01247457,,25.0,Completed - Dup,3743 W 26TH ST,Graffiti Removal,22.0,Brick - Unpainted,1151734.91390599,1886462.51386704,60623.0
747397,Graffiti Removal,Rear,47397,,,,,,8.0,2016-04-27T00:00:00,2016-04-27T00:00:00,,,,,,41.90363126143775,"{'longitude': '-87.65639083909478', 'needs_recoding': False, 'latitude': '41.903631261437745'}",,-87.65639083909477,,,18.0,16-02864521,,,Completed,1118 W DIVISION ST,Graffiti Removal,27.0,Brick - Painted,1168689.03666979,1908163.4959268002,60642.0
736938,Graffiti Removal,Front,36938,,,,,,59.0,2016-03-29T00:00:00,2016-03-29T00:00:00,,,,,,41.830557158791706,"{'longitude': '-87.6702541994943', 'needs_recoding': False, 'latitude': '41.83055715879171'}",,-87.67025419949431,,,9.0,16-02101675,,,Completed,1756 W 35TH ST,Graffiti Removal,12.0,Marble/Granite,1165135.82799172,1881506.7001309,60609.0
13732,Graffiti Removal,Front,13732,,,,,,24.0,2013-01-17T00:00:00,2013-01-11T00:00:00,,,,,,41.909562873524344,"{'longitude': '-87.67596655620311', 'needs_recoding': False, 'latitude': '41.90956287352434'}",,-87.67596655620312,,,14.0,13-00043073,,33.0,Completed,1539 N MILWAUKEE AVE,Graffiti Removal,1.0,Brick - Painted,1163126.12000098,1910319.26001124,60622.0
89330,Graffiti Removal,Front,39330,,,,,,58.0,2013-03-12T00:00:00,2013-03-12T00:00:00,,,,,,41.81209528799374,"{'longitude': '-87.7077249960549', 'needs_recoding': False, 'latitude': '41.81209528799374'}",,-87.70772499605489,,,8.0,13-00275387,,39.0,Completed,4472 S ARCHER AVE,Graffiti Removal,14.0,Brick - Painted,1154836.68912693,1874718.97100424,60632.0
918718,Pot Holes Reported,Pot Hole in Street,5380,,,,,,23.0,2013-01-11T00:00:00,2013-01-10T00:00:00,Final Outcome,,,,,41.9082117267976,"{'longitude': '-87.71896011257711', 'needs_recoding': False, 'latitude': '41.9082117267976'}",,-87.71896011257711,Pothole Patched,9.0,25.0,13-00037732,,,Completed,1500 N LAWNDALE AVE,,26.0,,1151526.18019907,1909723.40561131,60651.0
18849,Graffiti Removal,Traffic Control Box,18849,,,,,,3.0,2011-01-18T00:00:00,2011-01-17T00:00:00,,,,,,41.965475274534285,"{'longitude': '-87.6549356049483', 'needs_recoding': False, 'latitude': '41.96547527453429'}",,-87.65493560494829,,,23.0,11-00074992,,34.0,Completed,4600 N SHERIDAN RD,Graffiti Removal,46.0,Metal,1168787.71440441,1930723.38217954,60640.0
1358917,Pot Holes Reported,Pothole in Street,45579,,,,,,24.0,2017-02-16T00:00:00,2017-02-10T00:00:00,,,,,,41.897101882415846,"{'longitude': '-87.68213138402784', 'needs_recoding': False, 'latitude': '41.89710188241584'}",,-87.68213138402784,,,12.0,17-00744827,,,Completed - Dup,842 N LEAVITT ST,,2.0,,1161582.86932009,1905686.83799508,60622.0
488731,Graffiti Removal,Side,38731,,,,,,58.0,2014-04-24T00:00:00,2014-04-14T00:00:00,,,,,,41.82258173244698,"{'longitude': '-87.69941058214745', 'needs_recoding': False, 'latitude': '41.822581732446984'}",,-87.69941058214745,,,9.0,14-00534339,,,Completed,2959 W PERSHING RD,Graffiti Removal,14.0,Brick - Unpainted,1157271.39677129,1878624.46189672,60632.0
1147702,Pot Holes Reported,Pot Hole in Street,34364,,,,,,72.0,2014-04-04T00:00:00,2014-03-24T00:00:00,,,,,,41.71357505279664,"{'longitude': '-87.68077306421233', 'needs_recoding': False, 'latitude': '41.71357505279664'}",,-87.68077306421232,,0.0,22.0,14-00415422,,20.0,Completed - Dup,9900 S CLAREMONT AVE,,19.0,,1162457.22668708,1838927.2598929,60643.0
656547,Graffiti Removal,Front,6547,,,,,,58.0,2015-08-04T00:00:00,2015-08-04T00:00:00,,,,,,41.81529880663602,"{'longitude': '-87.707007653443', 'needs_recoding': False, 'latitude': '41.81529880663602'}",,-87.707007653443,,,8.0,15-03834515,,,Completed,3307 W 43RD ST,Graffiti Removal,14.0,Brick - Painted,1154989.93009947,1875947.57737818,60632.0
196299,Graffiti Removal,Rear,46299,,,,,,14.0,2011-07-15T00:00:00,2011-07-07T00:00:00,,,,,,41.96846146081384,"{'longitude': '-87.71803965491993', 'needs_recoding': False, 'latitude': '41.968461460813835'}",,-87.71803965491993,,,17.0,11-03314825,,,Completed,3554 W LAWRENCE AVE,Graffiti Removal,39.0,Wood - Painted,1151736.13212396,1931661.65408128,60625.0
14667,Graffiti Removal,Front,14667,,,,,,16.0,2012-01-18T00:00:00,2012-01-12T00:00:00,,,,,,41.95383531994547,"{'longitude': '-87.70392309093471', 'needs_recoding': False, 'latitude': '41.95383531994547'}",,-87.7039230909347,,,17.0,12-00056498,,60.0,Completed,3017 W IRVING PARK RD,Graffiti Removal,33.0,Brick - Painted,1155476.32718969,1926436.44008279,60618.0
1168349,Pot Holes Reported,Pothole in Street,5011,,,,,,9.0,2014-05-28T00:00:00,2014-03-31T00:00:00,Final Outcome,,,,,42.017233275185546,"{'longitude': '-87.80785575600382', 'needs_recoding': False, 'latitude': '42.017233275185546'}",,-87.80785575600382,Pothole Patched,8.0,16.0,14-00459167,,,Completed,7232 W BIRCHWOOD AVE,,41.0,,1127061.15193074,1949268.75521906,60631.0
19485,Graffiti Removal,Fence,19485,,,,,,63.0,2013-01-17T00:00:00,2013-01-17T00:00:00,,,,,,41.80302771365971,"{'longitude': '-87.6878033987292', 'needs_recoding': False, 'latitude': '41.80302771365971'}",,-87.68780339872922,,,9.0,13-00066026,,,Completed,2522 W 50TH ST,Graffiti Removal,14.0,Wood - Painted,1160310.04487533,1871436.4656201,60632.0
154867,Graffiti Removal,Garage,4867,,,,,,20.0,2012-06-22T00:00:00,2012-05-16T00:00:00,,,,,,41.930697836487596,"{'longitude': '-87.7415065988084', 'needs_recoding': False, 'latitude': '41.93069783648759'}",,-87.7415065988084,,,25.0,12-00927309,,,Completed,4558 W PARKER AVE,Graffiti Removal,31.0,Metal,1145530.72811629,1917857.91113005,60639.0
421029,Graffiti Removal,Front,21029,,,,,,6.0,2013-11-05T00:00:00,2013-11-05T00:00:00,,,,,,41.95439962284546,"{'longitude': '-87.66436309454507', 'needs_recoding': False, 'latitude': '41.95439962284545'}",,-87.66436309454505,,,19.0,13-01657381,,,Completed,4000 N SOUTHPORT AVE,Graffiti Removal,47.0,Glass,1166255.1736699,1926667.30549189,60613.0
645633,Graffiti Removal,Front,45633,,,,,,16.0,2015-07-08T00:00:00,2015-07-08T00:00:00,,,,,,41.94186814452269,"{'longitude': '-87.72862892844228', 'needs_recoding': False, 'latitude': '41.94186814452269'}",,-87.72862892844229,,,17.0,15-03275450,,,Completed,3346 N MILWAUKEE AVE,Graffiti Removal,30.0,"Cement (Sidewalk, Alley, Wall, Curb)",1148792.94220369,1922016.77750386,60641.0
822332,Graffiti Removal,Rear,22332,,,,,,30.0,2016-12-07T00:00:00,2016-12-07T00:00:00,,,,,,41.84614424715391,"{'longitude': '-87.72827420172042', 'needs_recoding': False, 'latitude': '41.84614424715391'}",,-87.72827420172042,,,10.0,16-08202862,,,Completed,4152 W 25TH ST,Graffiti Removal,22.0,Brick - Painted,1149161.46688687,1887066.26748632,60623.0
28072,Graffiti Removal,Pole,28072,,,,,,30.0,2011-01-26T00:00:00,2011-01-25T00:00:00,,,,,,41.84640071851337,"{'longitude': '-87.695416318771', 'needs_recoding': False, 'latitude': '41.846400718513365'}",,-87.695416318771,,,10.0,11-00126985,,,Completed,2500 S CALIFORNIA AVE,Graffiti Removal,12.0,Metal,1158099.82027119,1887282.29569108,60608.0
1168633,Pot Holes Reported,Pothole in Street,5295,,,,,,72.0,2014-05-29T00:00:00,2014-03-11T00:00:00,,,,,,41.72110052743211,"{'longitude': '-87.66759026209412', 'needs_recoding': False, 'latitude': '41.721100527432114'}",,-87.66759026209412,,0.0,22.0,14-00345277,,4.0,Completed - Dup,9500 S WOOD ST,,19.0,,1166035.3660976002,1841680.57110267,60643.0
690145,Graffiti Removal,Front,40145,,,,,,63.0,2015-11-03T00:00:00,2015-11-03T00:00:00,,,,,,41.799294825407785,"{'longitude': '-87.69165973657016', 'needs_recoding': False, 'latitude': '41.79929482540778'}",,-87.69165973657014,,,9.0,15-05916155,,,Completed,5158 S WASHTENAW AVE,Graffiti Removal,14.0,Brick - Painted,1159245.73921056,1870349.62168176,60632.0
1200022,Pot Holes Reported,Pothole in Street,36684,,,,,,61.0,2014-08-08T00:00:00,2014-04-22T00:00:00,Final Outcome,,,,,41.80846473639057,"{'longitude': '-87.66809209954076', 'needs_recoding': False, 'latitude': '41.80846473639057'}",,-87.66809209954077,Completed Upon Arrival,0.0,9.0,14-00575631,,10.0,Completed,1715 W 47TH ST,,20.0,,1165642.04247895,1873537.49456932,60609.0
